,pageRank,degreeCentrality,inDegreeCentrality,outDegreeCentrality,betweennessCentrality,eigenvectorCentrality,katzCentrality
src/test/java/io/reactivex/rxjava3/core/Retry.java,0.0009039392157354139,0.0010887316276537834,0.0005443658138268917,0.0005443658138268917,0.0,3.2002904911055883e-10,0.00514994483780441
src/main/java/io/reactivex/rxjava3/internal/operators/maybe/MaybeDoOnLifecycle.java,0.0001668732968505158,0.0032661948829613503,0.0005443658138268917,0.002721829069134459,0.0,3.2002904911055883e-10,0.00514994483780441
src/main/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableThrottleFirstTimed.java,0.0001529403787829944,0.005443658138268918,0.0005443658138268917,0.004899292324442026,0.0,3.2002904911055883e-10,0.00514994483780441
src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableSwitchIfEmpty.java,0.0001932874271385579,0.002177463255307567,0.0005443658138268917,0.0016330974414806752,0.0,3.2002904911055883e-10,0.00514994483780441
src/main/java/io/reactivex/rxjava3/internal/operators/single/SingleDelayWithObservable.java,0.0001668732968505158,0.0032661948829613503,0.0005443658138268917,0.002721829069134459,0.0,3.2002904911055883e-10,0.00514994483780441
src/test/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableRetryTest.java,0.0001529403787829944,0.005443658138268918,0.0005443658138268917,0.004899292324442026,0.0,3.2002904911055883e-10,0.00514994483780441
src/main/java/io/reactivex/rxjava3/flowables/GroupedFlowable.java,0.0008106579656636488,0.006532389765922701,0.004899292324442026,0.0016330974414806752,7.487006577061761e-05,3.008273183720649e-08,0.009842116801136556
src/test/java/io/reactivex/rxjava3/flowable/FlowableGroupByTests.java,0.00013848723724004902,0.0016330974414806752,0.0,0.0016330974414806752,0.0,6.104069692813088e-16,0.004634950354023974
src/main/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableGroupBy.java,0.0001668732968505158,0.0032661948829613503,0.0005443658138268917,0.002721829069134459,0.0,3.2002904911055883e-10,0.00514994483780441
src/test/java/io/reactivex/rxjava3/flowable/FlowableCovarianceTest.java,0.0007412893261236463,0.004899292324442026,0.0032661948829613503,0.0016330974414806752,5.129372864490864e-05,1.920171242628505e-09,0.007724917256706592
src/main/java/io/reactivex/rxjava3/flowables/package-info.java,0.00013848723724004902,0.0010887316276537834,0.0,0.0010887316276537834,0.0,6.104069692813088e-16,0.004634950354023974
src/test/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableGroupByTest.java,0.0001529403787829944,0.005443658138268918,0.0005443658138268917,0.004899292324442026,0.0,3.2002904911055883e-10,0.00514994483780441
